Trddt	ivol_lag_rank	ivol_lag	v_weight_ilag	avg_return	v_weight_return	crate	crate_lag	v_weight_crate	v_weight_crate_lag	avg_totalv
201312	0	0.024984196	0.020642787	-0.04012772	-0.052728919	0.22712716	0.2253758	0.2312152553	0.2282602703	12812058.705
201312	1	0.0483740004	0.0482868826	0.0037882692	0.0060144426	0.2857633077	0.2102921154	0.2645976385	0.192071499	7915007.8042
201312	2	0.0679059444	0.0669041572	-0.03101516	-0.017297465	0.33214248	0.3436222	0.3507059665	0.3291830315	7350120.804
201312	3	0.0940353341	0.0925458184	-0.0223865	-0.014853586	0.3559858846	0.3680488077	0.3414118847	0.3409082297	8188012.145
201312	4	0.1444559886	0.1395678712	-0.09011	-0.104768946	0.47192544	0.61439896	0.3744161219	0.4922522288	12348166.923
201401	0	0.0267471557	0.0248418241	-0.03525944	-0.062386429	0.17890324	0.18265808	0.178596963	0.1849924546	14123304.137
201401	1	0.0523654642	0.0537572742	-0.021572154	-0.02683711	0.2566478462	0.2306101538	0.2623245088	0.2224326069	7326227.0446
201401	2	0.0702053666	0.0700375332	0.0247736154	0.0439501096	0.2660215769	0.2606026538	0.2375381737	0.2342387099	11041408.25
201401	3	0.0916632453	0.0929669291	0.0004378462	0.0183534395	0.3782293462	0.3801470385	0.3875497616	0.3679816158	7558898.8954
201401	4	0.1404150505	0.1417595271	0.0265773846	0.0318128533	0.4349003462	0.5866145385	0.5061861641	0.6001341447	9257156.5062
201402	0	0.0286077676	0.0243422763	0.03934764	0.0489643292	0.24394972	0.20044332	0.2373035758	0.2211927014	13347418.653
201402	1	0.052249291	0.0522387821	0.01437936	0.0317491328	0.28996572	0.19771484	0.240626467	0.1598457735	8972159.8552
201402	2	0.0698786356	0.070519047	0.05668344	0.0501195196	0.37502648	0.2243874	0.3915415902	0.241651078	6185409.7348
201402	3	0.0910870006	0.0921913249	0.03888444	0.0203618265	0.413045	0.3168686	0.3550338845	0.3018478195	8835279.142
201402	4	0.1408316974	0.1399534938	-0.00376892	-0.01344937	0.49311176	0.57891088	0.4229805154	0.5047852186	11966668.37
201403	0	0.027803512	0.0227954244	-0.01567088	-0.007026192	0.2470526	0.25568388	0.2233550091	0.2102421897	14040191.752
201403	1	0.0517613915	0.0518600152	-0.006346808	-0.001233444	0.2673921154	0.2724219615	0.2236006697	0.2225204932	9577628.535
201403	2	0.0715419061	0.0727930954	-0.01444556	-0.010836235	0.33952984	0.29047016	0.3185985094	0.266178704	7223901.5836
201403	3	0.0933742707	0.0940691372	-0.043530038	-0.006634966	0.4335224231	0.4219438077	0.4265141696	0.4007590771	8193276.0742
