Stkcd,Trdmnt,,Msmvttl,Dturn,Beta,Mretwd
证券代码,月份,,个股总市值,换手率,Beta值,考虑现金红利再投资的月个股回报率
没有单位,没有单位,,千元,没有单位,没有单位,没有单位
000060,2010 ,8 ,25278960.17,0.420568,1.177126,0.052875
000060,2010 ,9 ,26976919.2,0.426341,1.176253,0.067169
000060,2010 ,10 ,35847564.98,0.801068,1.199974,0.328824
000060,2010 ,11 ,30436312.37,0.757934,1.206113,-0.150952
000060,2010 ,12 ,35704746,0.463708,1.194389,0.173097
000060,2011 ,1 ,30452181.14,0.296067,1.208975,-0.147111
000060,2011 ,2 ,33118135.51,0.23603,1.218648,0.087546
000060,2011 ,3 ,33007054.08,0.437886,1.26331,-0.003354
000060,2011 ,4 ,30214149.5,0.353553,1.367898,-0.084615
000060,2011 ,5 ,25993055.09,0.125953,1.373962,-0.138724
000060,2011 ,6 ,27437113.7,0.15174,1.405245,0.055556
000060,2011 ,7 ,26942007.89,0.180674,1.376023,-0.018045
000060,2011 ,8 ,24734661.15,0.147527,1.377239,-0.08193
000060,2011 ,9 ,21310179.29,0.081935,1.358943,-0.138449
000060,2011 ,10 ,21846543.92,0.084766,1.369094,0.025169
000060,2011 ,11 ,19309126.64,0.099972,1.335494,-0.116147
000060,2011 ,12 ,16978003.44,0.062286,1.332199,-0.120726
000060,2012 ,1 ,19680456,0.114768,1.313918,0.159174
000060,2012 ,2 ,22073467.42,0.246518,1.297156,0.121593
000060,2012 ,3 ,17906326.84,0.211147,1.313198,-0.188785
000060,2012 ,4 ,19494791.32,0.097497,1.314719,0.08871
000060,2012 ,5 ,19391644.27,0.144049,1.311814,-0.005291
000060,2012 ,6 ,17782550.39,0.062759,1.339343,-0.082979
000060,2012 ,7 ,17225556.35,0.068123,1.33535,-0.023232
000060,2012 ,8 ,15533944.83,0.059305,1.373891,-0.098204
000060,2012 ,9 ,16936744.62,0.139056,1.404017,0.090305
000060,2012 ,10 ,15554574.24,0.057267,1.390965,-0.081608
